County,Agency_Name,Agency_Type,URL,Phone,CalWORKs_Contact,APP_Contractor,Last_Verified
Alameda,Alameda County Social Services Agency,County Welfare,https://www.alamedasocialservices.org,,See website,4Cs of Alameda County,2025-12
Alameda,4Cs of Alameda County,CCR&R / APP,https://4calameda.org,510-582-2182,,4Cs of Alameda County,2025-12
Alameda,Bananas Inc.,CCR&R / APP,https://bananasbunch.org,510-658-7353,,,2025-12
Contra Costa,CocoKids,CCR&R / APP,https://www.cocokids.org,925-676-5442,,,2025-12
Contra Costa,CCC Employment & Human Services,County Welfare,https://ehsd.org,,See website,CocoKids,2025-12
Fresno,Central Valley Children's Services Network,APP,https://www.cvcsn.org,559-456-1100,,,2026-02
Kern,Community Connection for Child Care,APP,https://www.kcsos.kern.org,661-861-5200,,KCSOS,2025-12
Los Angeles,LA DPSS,County Welfare,https://dpss.lacounty.gov,,dpss.lacounty.gov/en/cash/calworks.html,Multiple,2025-12
Los Angeles,Crystal Stairs Inc.,APP,https://www.crystalstairs.org,323-421-2679,,Crystal Stairs,2025-12
Los Angeles,Child Care Resource Center (CCRC),APP,https://www.ccrcca.org,818-717-1000,,CCRC,2025-12
Los Angeles,Options for Learning,APP,https://www.optionsforlearning.org,626-856-5900,,Options for Learning,2025-12
Los Angeles,Pathways LA,APP,https://www.pathwaysla.org,213-427-2700,,Pathways LA,2025-12
Los Angeles,Connections for Children,APP,https://www.connectionsforchildren.org,310-452-3734,,Connections for Children,2025-12
Los Angeles,Drew Child Development Corporation,APP,https://www.drewcdc.org,323-249-2950,,Drew CDC,2025-12
Los Angeles,211 LA County,Resource,https://211la.org,211,,211 LA,2025-12
Monterey,Monterey County Office of Education,MSHS,https://www.montereycoe.org,831-755-0300,,,2025-12
Orange,Children's Home Society of California,APP,https://www.chs-ca.org,714-543-2273,,,2025-12
Orange,Orange County Dept of Education,APP,https://www.ocde.us,714-966-4000,,,2025-12
Riverside,Riverside County Office of Education,APP / MSHS,https://www.rcoe.us,951-826-6608,,,2026-02
Sacramento,Sacramento DHA,County Welfare,https://dhaservices.saccounty.gov,,dhaservices.saccounty.gov,Child Action Inc.,2026-02
Sacramento,Child Action Inc.,CCR&R / APP,https://www.childaction.org,916-361-0511,,,2025-12
Sacramento,211 Sacramento,Resource,https://211sacramento.org,211,,,2025-12
Sacramento,BenefitsCal,Benefits Portal,https://benefitscal.com,,Online benefits application,,2026-02
Sacramento,Alta California Regional Center,Regional Center,https://www.altaregional.org,916-978-6400,,,2025-12
San Bernardino,Child Care Resource Center (CCRC),APP,https://www.ccrcca.org,909-384-1488,,,2025-12
San Diego,San Diego HHSA,County Welfare,https://www.sandiegocounty.gov/hhsa/programs/ssp/calworks/,,See website,YMCA CRS,2026-02
San Diego,YMCA Childcare Resource Service,CCR&R / APP,https://www.ymcasd.org/crs,,,,2025-12
San Diego,211 San Diego,Resource,https://211sandiego.org,211,,,2025-12
San Diego,San Diego Regional Center,Regional Center,https://www.sdrc.org,858-576-2996,,,2025-12
San Francisco,SF Human Services Agency,County Welfare,https://www.sfhsa.org,,See website,Children's Council,2025-12
San Francisco,Children's Council of San Francisco,CCR&R / APP,https://www.childrenscouncil.org,415-343-3300,,,2025-12
San Francisco,SF Preschool for All,Pre-K Program,https://sfdec.org/pfa,,,,2025-12
San Joaquin,San Joaquin County Office of Education,APP,https://www.sjcoe.org,209-468-4800,,,2025-12
San Mateo,4Cs of San Mateo County,CCR&R / APP,https://www.sanmateo4cs.org,650-517-1400,,,2025-12
Santa Clara,Choices for Children,APP,https://www.choices4children.org,408-297-3295,,,2025-12
Santa Clara,GoKids Inc.,APP,https://www.gokidsinc.org,408-843-9006,,,2025-12
Santa Clara,Santa Clara County SSA,County Welfare,https://www.sccgov.org,408-491-6737,,,2025-12
Santa Clara,YWCA Silicon Valley,Childcare,https://ywca-sv.org,,,,2025-12
Santa Clara,First 5 Santa Clara,First 5,https://first5kids.org,,,,2025-12
Solano,Child Start Inc.,APP,https://www.childstartinc.org,707-864-6641,,,2025-12
Sonoma,4Cs of Sonoma County,CCR&R / APP,https://www.sonoma4cs.org,707-544-3077,,,2025-12
Stanislaus,Central California Child Development Services,MSHS,https://cccds.com,209-238-1700,,,2025-12
Stanislaus,Stanislaus County Office of Education,MSHS,https://www.stancoe.org,209-238-1700,,,2025-12
Tulare,Tulare County Office of Education,APP / MSHS,https://www.tcoe.org,559-733-6300,,,2025-12
Ventura,Child Development Resources of Ventura County,CCR&R / APP,https://cdrv.org,805-485-7878,,,2025-12
Kings,Kings Community Action Organization,MSHS,https://www.kcao.org,559-415-7173,,,2025-12
Merced,Central California Child Development Services,MSHS,https://cccds.com,,,,2025-12
